iter	Passed	Remaining
0	0	90
1	1	87
2	2	81
3	3	75
4	3	73
5	4	71
6	5	71
7	6	70
8	6	70
9	7	69
10	8	68
11	9	67
12	9	66
13	10	65
14	11	64
15	12	63
16	12	62
17	13	61
18	14	60
19	14	59
20	15	58
21	16	58
22	17	58
23	18	57
24	18	56
25	19	55
26	20	54
27	20	53
28	21	52
29	22	52
30	22	51
31	23	50
32	24	49
33	24	48
34	25	47
35	26	47
36	27	46
37	27	45
38	28	44
39	29	43
40	29	43
41	30	41
42	30	40
43	31	40
44	32	39
45	33	38
46	33	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	32
56	41	31
57	42	30
58	43	29
59	43	29
60	44	28
61	45	28
62	46	27
63	47	26
64	48	26
65	49	25
66	50	24
67	51	24
68	52	23
69	53	22
70	53	22
71	54	21
72	55	20
73	56	19
74	57	19
75	57	18
76	58	17
77	59	16
78	60	16
79	60	15
80	61	14
81	62	13
82	63	12
83	64	12
84	64	11
85	65	10
86	66	9
87	67	9
88	67	8
89	68	7
90	69	6
91	69	6
92	70	5
93	71	4
94	72	3
95	72	3
96	73	2
97	74	1
98	75	0
99	75	0
